project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Lang,41,Lang-41-buggy,add_test1.java,org.apache.commons.lang.ClassUtilsTest,test_getShortClassName_Class,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,42,Lang-42-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,61,1.0000,,,8,1.0000,,,,,36,13,4,2,0,0,0,0,61,23,8,6
Lang,43,Lang-43-buggy,add_test.java,org.apache.commons.lang.text.ExtendedMessageFormatTest,testEscapedQuoteAlone,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,19,80,3,13,19,80,3,13,54,49,8,8,54,49,8,8
Lang,44,Lang-44-buggy,add_test.java,org.apache.commons.lang.NumberUtilsTest,testLang457_upperL,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,77,264,13,67,77,264,13,67,90,252,14,68,90,252,14,68
Lang,45,Lang-45-buggy,add_test.java,org.apache.commons.lang.WordUtilsTest,testAbbreviate,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,46,Lang-46-buggy,add_test.java,org.apache.commons.lang.StringEscapeUtilsTest,testEscapeJavaWithSlashUsingWriter,Pass,Not Pass,Pass,Pass,5,0.0333,5,0.0327,0,0.0000,0,0.0000,64,150,11,20,69,145,11,20,63,153,12,21,68,148,12,21
Lang,47,Lang-47-buggy,add_test.java,org.apache.commons.lang.text.StrBuilderTest,testLang412Left,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,49,Lang-49-buggy,add_test.java,org.apache.commons.lang.math.FractionTest,testReduce,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,50,Lang-50-buggy,add_test.java,org.apache.commons.lang.time.FastDateFormatTest,test_changeDefault_Locale_DateTimeInstance,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,102,38,14,2,102,38,14,2,102,38,10,2,102,38,10,2
Lang,51,Lang-51-buggy,add_test.java,org.apache.commons.lang.BooleanUtilsTest,test_toBoolean_String,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,52,Lang-52-buggy,Not Generated,Not Generated,Not Generated,Not Compilable,Not Generated,Not Generated,,,,Not Compilable,Not Compilable,,,Not Compilable,Not Compilable,,,,,57,108,13,15,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,53,Lang-53-buggy,add_test.java,org.apache.commons.lang.time.DateUtilsTest,testRoundMinuteAtThirtyBoundary,Pass,Not Pass,Pass,Pass,9,0.0796,0,0.0000,4,0.1053,0,0.0000,170,113,23,38,179,104,27,34,193,90,36,25,193,90,36,25
Lang,54,Lang-54-buggy,add_test.java,org.apache.commons.lang.LocaleUtilsTest,testLang328,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,68,97,12,20,68,97,12,20,59,177,11,27,59,177,11,27
Lang,55,Lang-55-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,16,1.0000,,,3,1.0000,,,,,15,5,2,2,0,0,0,0,16,8,3,3
Lang,56,Lang-56-buggy,add_test.java,org.apache.commons.lang.time.FastDateFormatTest,testLang303,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0
Lang,57,Lang-57-buggy,add_test.java,org.apache.commons.lang.LocaleUtilsTest,testIsAvailableLocale,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,4,0,0,0,4,0,0,6,2,1,1,6,2,1,1
Lang,58,Lang-58-buggy,add_test.java,org.apache.commons.lang.math.NumberUtilsTest,testLang300_UppercaseLong,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,105,255,18,68,105,255,18,68,94,267,18,70,94,267,18,70
Lang,59,Lang-59-buggy,add_test.java,org.apache.commons.lang.text.StrBuilderAppendInsertTest,testAppendFixedWidthPadRightNullTruncates,Pass,Not Pass,Not Pass,Pass,3,0.0612,3,0.0938,1,0.2000,1,0.2000,20,49,3,5,23,46,4,4,37,32,3,5,40,29,4,4
Lang,60,Lang-60-buggy,add_test.java,org.apache.commons.lang.text.StrBuilderTest,testIndexOfDoesNotScanBeyondSizeWithStartIndex,Pass,Not Pass,Pass,Pass,26,0.7647,0,0.0000,5,0.5556,0,0.0000,18,34,3,9,44,8,8,4,48,8,8,4,48,8,8,4
Lang,61,Lang-61-buggy,add_test.java,org.apache.commons.lang.text.StrBuilderTest,testIndexOfBoundary,Pass,Not Pass,Pass,Pass,2,0.1176,0,0.0000,1,0.1429,0,0.0000,56,17,11,7,58,15,12,6,58,15,12,6,58,15,12,6
Lang,62,Lang-62-buggy,add_test.java,org.apache.commons.lang.EntitiesTest,testNumberOverflowBoundary,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,104,186,12,34,104,186,12,34,249,58,31,23,249,58,31,23
Lang,63,Lang-63-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,260,1.0000,,,18,1.0000,,,,,268,37,18,12,0,0,0,0,260,37,18,12
Lang,64,Lang-64-buggy,add_test.java,org.apache.commons.lang.enums.ValuedEnumTest,testCompareTo_otherEnumType_reverse,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,7,0,0,0,7,0,0,0,15,36,3,3,15,36,3,3
Lang,65,Lang-65-buggy,add_test.java,org.apache.commons.lang.time.DateUtilsTest,testRoundUpLang59,Not Pass,Not Pass,Pass,Pass,108,0.5455,85,0.2733,12,0.3429,11,0.2075,0,198,0,35,108,90,12,23,0,311,0,53,85,226,11,42
