model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
GPT5,Cli,15,15,pass,yes,2,2,2,org.apache.commons.cli2.bug.BugCLI158Test::testSingleOptionMaximumNumberOfArgument; org.apache.commons.cli2.bug.BugCLI158Test::testSingleOptionSingleArgument,org.apache.commons.cli2.bug.BugCLI158Test::testSingleOptionMaximumNumberOfArgument; org.apache.commons.cli2.bug.BugCLI158Test::testSingleOptionSingleArgument
GPT5,Cli,16,16,not compilable,yes,4,3,2,org.apache.commons.cli2.bug.BugCLI123Test::testMultipleChildOptions; org.apache.commons.cli2.bug.BugCLI123Test::testParentOptionAndChildOption; org.apache.commons.cli2.bug.BugCLI123Test::testSingleChildOption,org.apache.commons.cli2.bug.BugCLI123Test::testMultipleChildOptions; org.apache.commons.cli2.bug.BugCLI123Test::testSingleChildOption
GPT5,Cli,16,16_1,not compilable,no,4,0,0,,
GPT5,Cli,17,17,pass,yes,1,1,1,org.apache.commons.cli.PosixParserTest::testStopBursting,org.apache.commons.cli.PosixParserTest::testStopBursting
GPT5,Cli,18,18,not pass,yes,1,1,0,org.apache.commons.cli.PosixParserTest::testStop2,
GPT5,Cli,19,19,not pass,yes,1,1,0,org.apache.commons.cli.PosixParserTest::testUnrecognizedOption2,
GPT5,Cli,20,20,pass,yes,1,1,1,org.apache.commons.cli.PosixParserTest::testStop3,org.apache.commons.cli.PosixParserTest::testStop3
GPT5,Cli,21,21,pass,yes,1,1,1,org.apache.commons.cli2.bug.BugCLI150Test::testNegativeNumber,org.apache.commons.cli2.bug.BugCLI150Test::testNegativeNumber
GPT5,Cli,22,22,not pass,yes,2,1,0,org.apache.commons.cli.ApplicationTest::testGroovy,
GPT5,Cli,23,23,pass,yes,2,2,2,org.apache.commons.cli.bug.BugCLI162Test::testInfiniteLoop; org.apache.commons.cli.bug.BugCLI162Test::testPrintHelpLongLines,org.apache.commons.cli.bug.BugCLI162Test::testInfiniteLoop; org.apache.commons.cli.bug.BugCLI162Test::testPrintHelpLongLines
GPT5,Cli,24,24,not pass,yes,1,1,1,org.apache.commons.cli.bug.BugCLI162Test::testLongLineChunkingIndentIgnored,org.apache.commons.cli.bug.BugCLI162Test::testLongLineChunkingIndentIgnored
GPT5,Cli,25,25,not pass,yes,1,1,1,org.apache.commons.cli.bug.BugCLI162Test::testLongLineChunkingIndentIgnored,org.apache.commons.cli.bug.BugCLI162Test::testLongLineChunkingIndentIgnored
GPT5,Cli,26,26,not pass,yes,1,1,0,org.apache.commons.cli.OptionBuilderTest::testBuilderIsResettedAlways,
GPT5,Cli,27,27,pass,yes,1,1,1,org.apache.commons.cli.ParserTestCase::testOptionGroupLong,org.apache.commons.cli.ParserTestCase::testOptionGroupLong
GPT5,Cli,28,28,pass,yes,1,1,1,org.apache.commons.cli.ValueTest::testPropertyOptionFlags,org.apache.commons.cli.ValueTest::testPropertyOptionFlags
GPT5,Cli,29,29,not pass,yes,1,1,1,org.apache.commons.cli.UtilTest::testStripLeadingAndTrailingQuotes,org.apache.commons.cli.UtilTest::testStripLeadingAndTrailingQuotes
GPT5,Cli,30,30,not pass,yes,3,1,1,org.apache.commons.cli.OptionGroupTest::testTwoOptionsFromGroupWithProperties,org.apache.commons.cli.OptionGroupTest::testTwoOptionsFromGroupWithProperties
GPT5,Cli,31,31,not compilable,yes,1,1,1,org.apache.commons.cli.HelpFormatterTest::testDefaultArgName,org.apache.commons.cli.HelpFormatterTest::testDefaultArgName
GPT5,Cli,32,32,not pass,yes,2,2,1,org.apache.commons.cli.HelpFormatterTest::testFindWrapPos; org.apache.commons.cli.HelpFormatterTest::testRenderWrappedTextWordCut,org.apache.commons.cli.HelpFormatterTest::testRenderWrappedTextWordCut
GPT5,Cli,33,33,not pass,yes,1,1,0,org.apache.commons.cli.HelpFormatterTest::testIndentedHeaderAndFooter,
GPT5,Cli,34,34,pass,yes,2,2,1,org.apache.commons.cli.CommandLineTest::testGetParsedOptionValue; org.apache.commons.cli.OptionBuilderTest::testTwoCompleteOptions,org.apache.commons.cli.OptionBuilderTest::testTwoCompleteOptions
GPT5,Cli,35,35,pass,yes,1,1,1,org.apache.commons.cli.bug.BugCLI252Test::testExactOptionNameMatch,org.apache.commons.cli.bug.BugCLI252Test::testExactOptionNameMatch
GPT5,Cli,37,37,pass,yes,1,1,1,org.apache.commons.cli.bug.BugCLI265Test::shouldParseShortOptionWithoutValue,org.apache.commons.cli.bug.BugCLI265Test::shouldParseShortOptionWithoutValue
GPT5,Cli,38,38,pass,yes,1,1,1,org.apache.commons.cli.bug.BugCLI265Test::shouldParseConcatenatedShortOptions,org.apache.commons.cli.bug.BugCLI265Test::shouldParseConcatenatedShortOptions
GPT5,Cli,39,39,not compilable,yes,2,2,2,org.apache.commons.cli.PatternOptionBuilderTest::testExistingFilePattern; org.apache.commons.cli.PatternOptionBuilderTest::testExistingFilePatternFileNotExist,org.apache.commons.cli.PatternOptionBuilderTest::testExistingFilePattern; org.apache.commons.cli.PatternOptionBuilderTest::testExistingFilePatternFileNotExist
GPT5,Cli,40,40,not pass,yes,1,1,0,org.apache.commons.cli.TypeHandlerTest::testCreateValueInteger_failure,
