model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
GPT5,Jsoup,15,15,not pass,yes,1,1,0,org.jsoup.parser.ParserTest::handlesDataOnlyTags,
GPT5,Jsoup,16,16,not pass,yes,2,2,1,org.jsoup.nodes.DocumentTypeTest::constructorValidationThrowsExceptionOnBlankName; org.jsoup.nodes.DocumentTypeTest::outerHtmlGeneration,org.jsoup.nodes.DocumentTypeTest::outerHtmlGeneration
GPT5,Jsoup,18,18,not pass,yes,3,3,2,org.jsoup.parser.CharacterReaderTest::consumeToEnd; org.jsoup.parser.CharacterReaderTest::handleCarriageReturnAsLineFeed; org.jsoup.parser.ParserTest::handlesNewlinesAndWhitespaceInTag,org.jsoup.parser.CharacterReaderTest::consumeToEnd; org.jsoup.parser.CharacterReaderTest::handleCarriageReturnAsLineFeed
GPT5,Jsoup,19,19,not compilable,yes,1,1,0,org.jsoup.safety.CleanerTest::handlesCustomProtocols,
GPT5,Jsoup,20,20,pass,yes,1,1,1,org.jsoup.helper.DataUtilTest::discardsSpuriousByteOrderMark,org.jsoup.helper.DataUtilTest::discardsSpuriousByteOrderMark
GPT5,Jsoup,21,21,not pass,yes,2,2,0,org.jsoup.select.SelectorTest::handlesCommasInSelector; org.jsoup.select.SelectorTest::mixCombinatorGroup,
GPT5,Jsoup,22,22,not compilable,yes,3,3,3,org.jsoup.nodes.ElementTest::elementIsNotASiblingOfItself; org.jsoup.nodes.NodeTest::nodeIsNotASiblingOfItself; org.jsoup.nodes.NodeTest::orphanNodeReturnsNullForSiblingElements,org.jsoup.nodes.ElementTest::elementIsNotASiblingOfItself; org.jsoup.nodes.NodeTest::nodeIsNotASiblingOfItself; org.jsoup.nodes.NodeTest::orphanNodeReturnsNullForSiblingElements
GPT5,Jsoup,22,22_1,not compilable,no,3,0,0,,
GPT5,Jsoup,23,23,pass,yes,1,1,1,org.jsoup.nodes.EntitiesTest::letterDigitEntities,org.jsoup.nodes.EntitiesTest::letterDigitEntities
GPT5,Jsoup,24,24,pass,yes,1,1,1,org.jsoup.parser.HtmlParserTest::handlesQuotesInCommentsInScripts,org.jsoup.parser.HtmlParserTest::handlesQuotesInCommentsInScripts
GPT5,Jsoup,26,26,pass,yes,1,1,1,org.jsoup.safety.CleanerTest::handlesFramesets,org.jsoup.safety.CleanerTest::handlesFramesets
GPT5,Jsoup,27,27,not compilable,yes,2,2,2,org.jsoup.helper.DataUtilTest::testCharset; org.jsoup.helper.DataUtilTest::testQuotedCharset,org.jsoup.helper.DataUtilTest::testCharset; org.jsoup.helper.DataUtilTest::testQuotedCharset
GPT5,Jsoup,28,28,not pass,yes,6,6,1,org.jsoup.nodes.EntitiesTest::noSpuriousDecodes; org.jsoup.nodes.EntitiesTest::unescape; org.jsoup.parser.AttributeParseTest::moreAttributeUnescapes; org.jsoup.parser.AttributeParseTest::strictAttributeUnescapes; org.jsoup.parser.HtmlParserTest::doesNotFindShortestMatchingEntity; org.jsoup.parser.HtmlParserTest::relaxedBaseEntityMatchAndStrictExtendedMatch,org.jsoup.nodes.EntitiesTest::unescape
GPT5,Jsoup,28,28_1,not pass,no,6,0,0,,
GPT5,Jsoup,29,29,not compilable,yes,1,1,0,org.jsoup.nodes.DocumentTest::testTitles,
GPT5,Jsoup,29,29_1,not pass,no,1,0,0,,
GPT5,Jsoup,30,30,not compilable,yes,1,1,1,org.jsoup.safety.CleanerTest::testIsValid,org.jsoup.safety.CleanerTest::testIsValid
GPT5,Jsoup,31,31,not pass,yes,1,1,0,org.jsoup.parser.XmlTreeBuilderTest::handlesXmlDeclarationAsDeclaration,
GPT5,Jsoup,31,31_1,not pass,no,1,0,0,,
GPT5,Jsoup,32,32,not pass,yes,1,1,1,org.jsoup.nodes.ElementTest::testClonesClassnames,org.jsoup.nodes.ElementTest::testClonesClassnames
GPT5,Jsoup,32,32_1,pass,no,1,0,0,,
GPT5,Jsoup,33,33,not pass,yes,1,1,1,org.jsoup.parser.HtmlParserTest::handlesKnownEmptyBlocks,org.jsoup.parser.HtmlParserTest::handlesKnownEmptyBlocks
GPT5,Jsoup,33,33_1,not pass,no,1,0,0,,
GPT5,Jsoup,34,34,pass,yes,2,2,1,org.jsoup.parser.CharacterReaderTest::nextIndexOfUnmatched; org.jsoup.parser.HtmlParserTest::handlesUnclosedCdataAtEOF,org.jsoup.parser.CharacterReaderTest::nextIndexOfUnmatched
GPT5,Jsoup,34,34_1,pass,no,2,0,0,,
GPT5,Jsoup,35,35,not pass,yes,1,1,0,org.jsoup.parser.HtmlParserTest::handlesUnclosedAnchors,
GPT5,Jsoup,35,35_1,not pass,no,1,0,0,,
GPT5,Jsoup,36,36,not compilable,yes,6,6,5,org.jsoup.helper.DataUtilTest::shouldCorrectCharsetForDuplicateCharsetString; org.jsoup.helper.DataUtilTest::shouldNotThrowExceptionOnEmptyCharset; org.jsoup.helper.DataUtilTest::shouldReturnNullForIllegalCharsetNames; org.jsoup.helper.DataUtilTest::shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags; org.jsoup.helper.DataUtilTest::testQuotedCharset; org.jsoup.integration.ParseTest::testBrokenHtml5CharsetWithASingleDoubleQuote,org.jsoup.helper.DataUtilTest::shouldCorrectCharsetForDuplicateCharsetString; org.jsoup.helper.DataUtilTest::shouldNotThrowExceptionOnEmptyCharset; org.jsoup.helper.DataUtilTest::shouldReturnNullForIllegalCharsetNames; org.jsoup.helper.DataUtilTest::shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags; org.jsoup.helper.DataUtilTest::testQuotedCharset
GPT5,Jsoup,37,37,not pass,yes,1,1,0,org.jsoup.nodes.ElementTest::testNotPretty,
GPT5,Jsoup,37,37_1,not pass,no,1,0,0,,
GPT5,Jsoup,38,38,pass,yes,1,1,1,org.jsoup.parser.HtmlParserTest::convertsImageToImg,org.jsoup.parser.HtmlParserTest::convertsImageToImg
GPT5,Jsoup,38,38_1,not pass,no,1,0,0,,
GPT5,Jsoup,39,39,pass,yes,1,1,1,org.jsoup.helper.DataUtilTest::discardsSpuriousByteOrderMarkWhenNoCharsetSet,org.jsoup.helper.DataUtilTest::discardsSpuriousByteOrderMarkWhenNoCharsetSet
GPT5,Jsoup,40,40,pass,yes,2,2,1,org.jsoup.nodes.DocumentTypeTest::constructorValidationOkWithBlankName; org.jsoup.parser.HtmlParserTest::handlesInvalidDoctypes,org.jsoup.nodes.DocumentTypeTest::constructorValidationOkWithBlankName
GPT5,Jsoup,40,40_1,not pass,no,2,0,0,,
GPT5,Jsoup,41,41,pass,yes,1,1,1,org.jsoup.nodes.ElementTest::testHashAndEquals,org.jsoup.nodes.ElementTest::testHashAndEquals
GPT5,Jsoup,41,41_1,pass,no,1,0,0,,
GPT5,Jsoup,42,42,not pass,yes,2,2,1,org.jsoup.nodes.FormElementTest::createsFormData; org.jsoup.nodes.FormElementTest::usesOnForCheckboxValueIfNoValueSet,org.jsoup.nodes.FormElementTest::createsFormData
GPT5,Jsoup,42,42_1,not pass,no,2,0,0,,
GPT5,Jsoup,43,43,pass,yes,2,2,2,org.jsoup.nodes.ElementTest::testElementSiblingIndexSameContent; org.jsoup.nodes.ElementTest::testGetSiblingsWithDuplicateContent,org.jsoup.nodes.ElementTest::testElementSiblingIndexSameContent; org.jsoup.nodes.ElementTest::testGetSiblingsWithDuplicateContent
GPT5,Jsoup,43,43_1,pass,no,2,0,0,,
GPT5,Jsoup,44,44,not pass,yes,1,1,0,org.jsoup.parser.HtmlParserTest::testInvalidTableContents,
GPT5,Jsoup,44,44_1,not pass,no,1,0,0,,
GPT5,Jsoup,45,45,pass,yes,1,1,1,org.jsoup.parser.HtmlParserTest::testReinsertionModeForThCelss,org.jsoup.parser.HtmlParserTest::testReinsertionModeForThCelss
GPT5,Jsoup,45,45_1,pass,no,1,0,0,,
GPT5,Jsoup,46,46,pass,yes,1,1,1,org.jsoup.nodes.DocumentTest::testShiftJisRoundtrip,org.jsoup.nodes.DocumentTest::testShiftJisRoundtrip
GPT5,Jsoup,46,46_1,not pass,no,1,0,0,,
GPT5,Jsoup,47,47,pass,yes,1,1,1,org.jsoup.nodes.EntitiesTest::escapesGtInXmlAttributesButNotInHtml,org.jsoup.nodes.EntitiesTest::escapesGtInXmlAttributesButNotInHtml
GPT5,Jsoup,47,47_1,not pass,no,1,0,0,,
GPT5,Jsoup,48,48,pass,yes,1,1,1,org.jsoup.helper.HttpConnectionTest::sameHeadersCombineWithComma,org.jsoup.helper.HttpConnectionTest::sameHeadersCombineWithComma
GPT5,Jsoup,49,49,not pass,yes,1,1,1,org.jsoup.nodes.ElementTest::appendMustCorrectlyMoveChildrenInsideOneParentElement,org.jsoup.nodes.ElementTest::appendMustCorrectlyMoveChildrenInsideOneParentElement
GPT5,Jsoup,49,49_1,not pass,no,1,0,0,,
GPT5,Jsoup,50,50,pass,yes,1,1,1,org.jsoup.helper.DataUtilTest::supportsBOMinFiles,org.jsoup.helper.DataUtilTest::supportsBOMinFiles
GPT5,Jsoup,51,51,pass,yes,1,1,1,org.jsoup.parser.HtmlParserTest::testSupportsNonAsciiTags,org.jsoup.parser.HtmlParserTest::testSupportsNonAsciiTags
GPT5,Jsoup,51,51_1,pass,no,1,0,0,,
GPT5,Jsoup,52,52,not pass,yes,7,4,4,org.jsoup.nodes.DocumentTest::testMetaCharsetUpdateXmlDisabledNoChanges; org.jsoup.nodes.DocumentTest::testMetaCharsetUpdateXmlIso8859; org.jsoup.nodes.DocumentTest::testMetaCharsetUpdateXmlNoCharset; org.jsoup.nodes.DocumentTest::testMetaCharsetUpdateXmlUtf8,org.jsoup.nodes.DocumentTest::testMetaCharsetUpdateXmlDisabledNoChanges; org.jsoup.nodes.DocumentTest::testMetaCharsetUpdateXmlIso8859; org.jsoup.nodes.DocumentTest::testMetaCharsetUpdateXmlNoCharset; org.jsoup.nodes.DocumentTest::testMetaCharsetUpdateXmlUtf8
GPT5,Jsoup,52,52_1,not pass,yes,7,3,1,org.jsoup.parser.XmlTreeBuilderTest::handlesXmlDeclarationAsDeclaration; org.jsoup.parser.XmlTreeBuilderTest::testDetectCharsetEncodingDeclaration; org.jsoup.parser.XmlTreeBuilderTest::testParseDeclarationAttributes,org.jsoup.parser.XmlTreeBuilderTest::testParseDeclarationAttributes
GPT5,Jsoup,53,53,not pass,no,1,0,0,,
GPT5,Jsoup,53,53_1,not pass,yes,1,1,0,org.jsoup.select.SelectorTest::attributeWithBrackets,
GPT5,Jsoup,54,54,pass,yes,1,1,1,org.jsoup.helper.W3CDomTest::handlesInvalidAttributeNames,org.jsoup.helper.W3CDomTest::handlesInvalidAttributeNames
GPT5,Jsoup,55,55,pass,yes,1,1,1,org.jsoup.parser.AttributeParseTest::dropsSlashFromAttributeName,org.jsoup.parser.AttributeParseTest::dropsSlashFromAttributeName
GPT5,Jsoup,55,55_1,not pass,no,1,0,0,,
GPT5,Jsoup,56,56,not compilable,yes,1,1,0,org.jsoup.nodes.DocumentTypeTest::testRoundTrip,
GPT5,Jsoup,56,56_1,not pass,no,1,0,0,,
GPT5,Jsoup,57,57,pass,yes,1,1,0,org.jsoup.nodes.ElementTest::testChainedRemoveAttributes,
GPT5,Jsoup,57,57_1,pass,no,1,0,0,,
GPT5,Jsoup,58,58,not compilable,no,2,0,0,,
GPT5,Jsoup,58,58_1,not compilable,yes,2,2,1,org.jsoup.safety.CleanerTest::testIsValidBodyHtml; org.jsoup.safety.CleanerTest::testIsValidDocument,org.jsoup.safety.CleanerTest::testIsValidDocument
GPT5,Jsoup,59,59,pass,no,2,0,0,,
GPT5,Jsoup,59,59_1,pass,yes,2,2,1,org.jsoup.parser.HtmlParserTest::handlesControlCodeInAttributeName; org.jsoup.safety.CleanerTest::handlesControlCharactersAfterTagName,org.jsoup.parser.HtmlParserTest::handlesControlCodeInAttributeName
GPT5,Jsoup,61,61,not pass,no,2,0,0,,
GPT5,Jsoup,61,61_1,not pass,yes,2,2,0,org.jsoup.select.ElementsTest::hasClassCaseInsensitive; org.jsoup.select.SelectorTest::testByClassCaseInsensitive,
GPT5,Jsoup,62,62,not pass,no,1,0,0,,
GPT5,Jsoup,62,62_1,not pass,yes,1,1,0,org.jsoup.parser.HtmlParserTest::caseSensitiveParseTree,
GPT5,Jsoup,63,63,not pass,no,3,0,0,,
GPT5,Jsoup,63,63_1,not compilable,yes,3,3,2,org.jsoup.parser.HtmlParserTest::selfClosingOnNonvoidIsError; org.jsoup.parser.HtmlParserTest::selfClosingVoidIsNotAnError; org.jsoup.parser.HtmlParserTest::tracksErrorsWhenRequested,org.jsoup.parser.HtmlParserTest::selfClosingOnNonvoidIsError; org.jsoup.parser.HtmlParserTest::tracksErrorsWhenRequested
GPT5,Jsoup,64,64,not pass,yes,2,2,0,org.jsoup.parser.HtmlParserTest::handlesKnownEmptyNoFrames; org.jsoup.parser.HtmlParserTest::handlesKnownEmptyStyle,
GPT5,Jsoup,64,64_1,pass,no,2,0,0,,
GPT5,Jsoup,65,65,not compilable,no,1,0,0,,
GPT5,Jsoup,65,65_1,pass,yes,1,1,1,org.jsoup.parser.HtmlParserTest::testTemplateInsideTable,org.jsoup.parser.HtmlParserTest::testTemplateInsideTable
GPT5,Jsoup,66,66,not pass,yes,1,1,1,org.jsoup.nodes.ElementTest::testNextElementSiblingAfterClone,org.jsoup.nodes.ElementTest::testNextElementSiblingAfterClone
GPT5,Jsoup,66,66_1,not pass,no,1,0,0,,
GPT5,Jsoup,67,67,not pass,no,1,0,0,,
GPT5,Jsoup,67,67_1,not pass,yes,1,1,1,org.jsoup.parser.HtmlParserTest::handlesDeepStack,org.jsoup.parser.HtmlParserTest::handlesDeepStack
GPT5,Jsoup,68,68,pass,no,1,0,0,,
GPT5,Jsoup,68,68_1,pass,yes,1,1,0,org.jsoup.parser.HtmlParserTest::testHandlesDeepSpans,
GPT5,Jsoup,69,69,not pass,yes,1,1,1,org.jsoup.nodes.FormElementTest::removeFormElement,org.jsoup.nodes.FormElementTest::removeFormElement
GPT5,Jsoup,69,69_1,not pass,no,1,0,0,,
GPT5,Jsoup,70,70,pass,yes,1,1,1,org.jsoup.nodes.ElementTest::testKeepsPreTextAtDepth,org.jsoup.nodes.ElementTest::testKeepsPreTextAtDepth
GPT5,Jsoup,70,70_1,pass,no,1,0,0,,
GPT5,Jsoup,71,71,not pass,no,2,0,0,,
GPT5,Jsoup,71,71_1,not pass,yes,2,2,0,org.jsoup.select.SelectorTest::splitOnBr; org.jsoup.select.SelectorTest::textAsElements,
GPT5,Jsoup,72,72,not pass,yes,2,1,0,org.jsoup.parser.CharacterReaderTest::consumeToNonexistentEndWhenAtAnd,
GPT5,Jsoup,72,72_1,not pass,yes,2,1,0,org.jsoup.parser.HtmlParserTest::commentAtEnd,
GPT5,Jsoup,73,73,pass,yes,1,1,1,org.jsoup.helper.W3CDomTest::namespacePreservation,org.jsoup.helper.W3CDomTest::namespacePreservation
GPT5,Jsoup,74,74,not pass,yes,1,1,0,org.jsoup.nodes.ElementTest::testNormalizesInvisiblesInText,
GPT5,Jsoup,74,74_1,not pass,no,1,0,0,,
GPT5,Jsoup,75,75,pass,yes,1,1,1,org.jsoup.nodes.ElementTest::booleanAttributeOutput,org.jsoup.nodes.ElementTest::booleanAttributeOutput
GPT5,Jsoup,75,75_1,not pass,no,1,0,0,,
GPT5,Jsoup,76,76,not pass,no,1,0,0,,
GPT5,Jsoup,76,76_1,not pass,yes,1,1,1,org.jsoup.parser.HtmlParserTest::preSkipsFirstNewline,org.jsoup.parser.HtmlParserTest::preSkipsFirstNewline
GPT5,Jsoup,77,77,pass,no,1,0,0,,
GPT5,Jsoup,77,77_1,not pass,yes,1,1,0,org.jsoup.parser.XmlTreeBuilderTest::normalizesDiscordantTags,
GPT5,Jsoup,78,78,not compilable,yes,1,1,0,org.jsoup.integration.ConnectTest::handlesEmptyStreamDuringParseRead,
GPT5,Jsoup,79,79,pass,yes,1,1,1,org.jsoup.nodes.TextNodeTest::testLeadNodesHaveNoChildren,org.jsoup.nodes.TextNodeTest::testLeadNodesHaveNoChildren
GPT5,Jsoup,79,79_1,pass,no,1,0,0,,
GPT5,Jsoup,79,79_2,pass,no,1,0,0,,
GPT5,Jsoup,80,80,not pass,no,1,0,0,,
GPT5,Jsoup,80,80_1,not pass,yes,1,1,0,org.jsoup.parser.XmlTreeBuilderTest::handlesDodgyXmlDecl,
GPT5,Jsoup,81,81,not pass,yes,1,1,0,org.jsoup.helper.DataUtilTest::supportsXmlCharsetDeclaration,
GPT5,Jsoup,82,82,not pass,yes,1,1,0,org.jsoup.parser.HtmlParserTest::fallbackToUtfIfCantEncode,
GPT5,Jsoup,83,83,not pass,yes,2,1,1,org.jsoup.parser.HtmlParserTest::parsesQuiteRoughAttributes,org.jsoup.parser.HtmlParserTest::parsesQuiteRoughAttributes
GPT5,Jsoup,83,83_1,pass,yes,2,1,1,org.jsoup.parser.TokeniserStateTest::handlesLessInTagThanAsNewTag,org.jsoup.parser.TokeniserStateTest::handlesLessInTagThanAsNewTag
GPT5,Jsoup,83,83_2,not pass,no,2,0,0,,
GPT5,Jsoup,84,84,not pass,yes,1,1,1,org.jsoup.helper.W3CDomTest::treatsUndeclaredNamespaceAsLocalName,org.jsoup.helper.W3CDomTest::treatsUndeclaredNamespaceAsLocalName
GPT5,Jsoup,86,86,not pass,no,1,0,0,,
GPT5,Jsoup,86,86_1,not pass,yes,1,1,0,org.jsoup.parser.XmlTreeBuilderTest::handlesLTinScript,
GPT5,Jsoup,86,86_2,not pass,no,1,0,0,,
GPT5,Jsoup,87,87,not pass,no,1,0,0,,
GPT5,Jsoup,87,87_1,not pass,yes,1,1,0,org.jsoup.parser.HtmlParserTest::preservedCaseLinksCantNest,
GPT5,Jsoup,87,87_2,not pass,no,1,0,0,,
GPT5,Jsoup,88,88,pass,yes,1,1,1,org.jsoup.nodes.AttributeTest::booleanAttributesAreEmptyStringValues,org.jsoup.nodes.AttributeTest::booleanAttributesAreEmptyStringValues
GPT5,Jsoup,88,88_1,not compilable,no,1,0,0,,
GPT5,Jsoup,88,88_2,not pass,no,1,0,0,,
GPT5,Jsoup,89,89,pass,yes,1,1,1,org.jsoup.nodes.AttributeTest::settersOnOrphanAttribute,org.jsoup.nodes.AttributeTest::settersOnOrphanAttribute
GPT5,Jsoup,89,89_1,pass,no,1,0,0,,
GPT5,Jsoup,89,89_2,pass,no,1,0,0,,
GPT5,Jsoup,90,90,pass,yes,1,1,0,org.jsoup.helper.HttpConnectionTest::handlesHeaderEncodingOnRequest,
GPT5,Jsoup,91,91,not pass,yes,3,3,0,org.jsoup.integration.ConnectTest::testBinaryResultThrows; org.jsoup.integration.ConnectTest::testBinaryThrowsExceptionWhenTypeIgnored; org.jsoup.integration.ParseTest::testBinaryThrowsException,
GPT5,Jsoup,91,91_1,not compilable,no,3,0,0,,
GPT5,Jsoup,91,91_2,not pass,no,3,0,0,,
GPT5,Jsoup,92,92,not compilable,no,3,0,0,,
GPT5,Jsoup,92,92_1,not pass,yes,3,3,2,org.jsoup.parser.HtmlParserTest::dropsDuplicateAttributes; org.jsoup.parser.HtmlParserTest::retainsAttributesOfDifferentCaseIfSensitive; org.jsoup.parser.XmlTreeBuilderTest::dropsDuplicateAttributes,org.jsoup.parser.HtmlParserTest::dropsDuplicateAttributes; org.jsoup.parser.HtmlParserTest::retainsAttributesOfDifferentCaseIfSensitive
GPT5,Jsoup,92,92_2,not pass,no,3,0,0,,
GPT5,Jsoup,93,93,pass,yes,1,1,1,org.jsoup.nodes.FormElementTest::createsFormData,org.jsoup.nodes.FormElementTest::createsFormData
GPT5,Jsoup,93,93_1,not pass,no,1,0,0,,
GPT5,Jsoup,93,93_2,not pass,no,1,0,0,,
